latitude,longitude,name
42.68789135,126.0492214,中国银行辉南支行营业部
42.68212541,125.5444811,中国银行东丰支行营业部
42.55237537,124.0472854,中国银行铁岭开原支行营业部
42.52961891,125.686435,中国银行梅河口支行营业部
42.3345252,127.2835541,中国银行抚松支行营业部
42.32053391,86.38475382,中国银行和静县支行
42.29483031,123.8433255,中国银行铁岭光荣街支行
42.29196007,123.8514074,中国银行铁岭分行营业部
42.27176131,118.9710655,中国银行赤峰分行营业部
42.26591908,118.9396488,中国银行赤峰市钢铁西街支行
42.04391638,119.2804074,中国银行元宝山区支行营业部
42.03361497,121.6721558,中国银行阜新海鑫支行
42.01744235,121.6496856,中国银行阜新分行营业部
42.00056736,122.8360166,中国银行沈阳新民支行营业部
41.94611511,126.4236338,中国银行白山分行营业部
41.89175104,124.0741739,中国银行抚顺东洲支行营业部
41.8842281,123.9260151,中国银行抚顺河北支行营业部
41.87046518,123.9145314,中国银行抚顺分行营业部
41.86572604,123.9091881,中国银行抚顺新抚支行营业部
41.86461642,123.8779023,中国银行抚顺新抚路支行
41.85981269,123.8237644,中国银行抚顺丹东路支行
41.85627012,123.8284828,中国银行抚顺雷锋东路支行
41.85545903,123.8316013,中国银行抚顺望花支行营业部
41.8553047,123.8119011,中国银行抚顺雷锋路支行
41.84509433,123.4479982,中国银行沈阳陵东街支行
41.83847279,123.4466704,中国银行沈阳皇姑支行营业部
41.8204457,123.439752,中国银行沈阳北站支行营业部
41.81552272,123.3939332,中国银行沈阳北一东路支行
41.81152589,123.471797,中国银行沈阳大东支行营业部
41.81093366,123.3849727,中国银行沈阳兴华北街支行
41.81036165,123.4373996,中国银行沈阳分行营业部
41.80281443,81.87737889,中国银行拜城县支行
41.79905361,123.4227514,中国银行沈阳中山支行营业部
41.79898189,123.364201,中国银行沈阳铁西支行营业部
41.79700593,123.4100904,中国银行沈阳中华路支行
41.791488,123.3699092,中国银行沈阳兴华南街支行
41.79067304,123.4889939,中国银行沈阳六0六支行
41.78880989,123.433803,中国银行沈阳沈河支行营业部
41.78813829,123.3325136,中国银行沈阳西站支行
41.78606629,123.4121577,中国银行沈阳和平支行营业部
41.7829964,126.0534127,中国银行通化二道江支行
41.7739946,123.3026378,中国银行沈阳开发区支行营业部
41.76195048,123.44454,中国银行沈阳南湖支行营业部
41.75340812,123.3421123,中国银行沈阳于洪新城支行
41.7403529,123.4752469,中国银行沈阳浑南支行
41.73574689,125.941882,中国银行通化龙泉路支行
41.73561601,125.9592596,中国银行通化分行营业部
41.60663229,119.3231557,中国银行宁城铁西支行
41.60421598,119.3147936,中国银行宁城支行营业部
41.59844974,121.801518,中国银行锦州北镇支行营业部
41.58239446,120.4640687,中国银行朝阳分行营业部
